cid,crystal,inspiration_hits
DAR-DIA-23aa0b97-6,x10178,"x0305,x0434"
DAR-DIA-23aa0b97-13,x2964,"x0104,x0434,x0995"
DAR-DIA-23aa0b97-14,x10996,"x0104,x0434,x0995"
DAR-DIA-23aa0b97-17,x2569,"x0305,x0434"
DAR-DIA-23aa0b97-20,x2563,"x0434,x1093"
DAR-DIA-842b4336-3,x2608,x0434
DAR-DIA-842b4336-13,x2643,x0434
WAR-XCH-eb7b662f-7,x10996,"x0305,x0434"
TRY-UNI-714a760b-3,x11317,"x0434,x0995,x1382"
TRY-UNI-714a760b-6,x2646,"x0107,x0434,x1382"
TRY-UNI-714a760b-12,x2908,"x0107,x0434,x1382"
TRY-UNI-714a760b-16,x11044,"x0107,x0434,x1382"
TRY-UNI-714a760b-18,x2649,"x0107,x0434,x1382"
TRY-UNI-714a760b-19,x11318,"x0107,x0434,x0995"
TRY-UNI-714a760b-20,x2572,"x0107,x0434"
TRY-UNI-714a760b-22,x2912,"x0107,x0434,x0678"
ADA-UNI-f8e79267-2,x10889,"x0072,x0387,x0678"
JOR-UNI-2fc98d0b-6,x10237,"x0387,x0434"
JOR-UNI-2fc98d0b-7,x10996,x0434
JOR-UNI-2fc98d0b-12,x10236,"x0387,x0434"
DUN-NEW-f8ce3686-14,x10049,"x0072,x1458"
DUN-NEW-f8ce3686-23,x10899,"x0072,x1458"
DUN-NEW-f8ce3686-24,x10506,x1458
ANN-UNI-26382800-5,x2600,"x0434,x1249"
DAR-DIA-eace69ff-36,x3351,x0104
# NIR-THE-c331be7a-2,x10678,"x0305,x1420"
# NIR-THE-c331be7a-6,x10513,x1420
MAK-UNK-6435e6c2-1,x0689,x0689
MAK-UNK-6435e6c2-2,x2779,x0689
MAK-UNK-6435e6c2-3,x1386,x0689
MAK-UNK-6435e6c2-4,x1384,x0689
MAK-UNK-6435e6c2-5,x0691,x0689
MAK-UNK-6435e6c2-6,x0755,x0689
MAK-UNK-6435e6c2-7,x0478,x0689
MAK-UNK-6435e6c2-8,x0107,x0689
MAK-UNK-6435e6c2-9,x0464,x0689
PET-SGC-a8a902d9-1,x11225,"x0107,x0387"
ALV-UNI-7ff1a6f9-47,x2581,x0434
GAB-REV-70cc3ca5-4,x10019,x0107
GAB-REV-70cc3ca5-8,x3080,x0107
GAB-REV-70cc3ca5-13,x3108,x0107
GAB-REV-70cc3ca5-18,x3366,x0107
ALE-HEI-f28a35b5-9,x0678,x0434
BAR-COM-4e090d3a-39,x2562,x0434
BAR-COM-4e090d3a-47,x3305,x0434
BAR-COM-4e090d3a-49,x2764,x0434
BAR-COM-4e090d3a-57,x3298,x0434
BEN-DND-031a96cc-8,x10022,x0434
FRA-FAC-9ed5a63a-1,x0678,x0395
MAK-UNK-0d6072ac-4,x2659,x0749
WAR-XCH-72a8c209-5,x10728,x1493
JAN-GHE-83b26c96-1,x10329,x0678
JAN-GHE-83b26c96-2,x11372,x0678
JAN-GHE-83b26c96-3,x10377,x0678
JAN-GHE-83b26c96-8,x10423,x0678
JAN-GHE-83b26c96-9,x10327,x0678
JAN-GHE-83b26c96-10,x10395,x0678
JAN-GHE-83b26c96-11,x10248,x0678
JAN-GHE-83b26c96-12,x11368,x0678
JAN-GHE-83b26c96-13,x10565,x0678
JAN-GHE-83b26c96-14,x10247,x0678
JAN-GHE-83b26c96-15,x11041,x0678
JAN-GHE-83b26c96-19,x10996,x0678
JAN-GHE-83b26c96-20,x10392,x0678
JAN-GHE-83b26c96-21,x10606,x0678
JAN-GHE-83b26c96-22,x10422,x0678
JAN-GHE-83b26c96-23,x10396,x0678
MAT-POS-7dfc56d9-1,x0161,x0161
TRY-UNI-2eddb1ff-1,x10314,"x0387,x0678"
TRY-UNI-2eddb1ff-2,x10723,"x0387,x1382"
TRY-UNI-2eddb1ff-3,x10900,"x0104,x0387"
TRY-UNI-2eddb1ff-7,x10789,x0387
JAN-GHE-5a013bed-2,x10466,x0678
JAN-GHE-5a013bed-4,x10604,x0678
EDG-MED-0da5ad92-1,x11041,x0434
EDG-MED-0da5ad92-2,x10201,x0434
EDG-MED-0da5ad92-5,x11557,x0434
EDG-MED-0da5ad92-7,x11562,x0434
EDG-MED-0da5ad92-8,x10723,x0434
EDG-MED-0da5ad92-10,x10422,x0434
EDG-MED-0da5ad92-11,x10392,x0434
EDG-MED-0da5ad92-12,x10976,x0434
EDG-MED-0da5ad92-15,x11485,x0434
EDG-MED-0da5ad92-16,x11013,x0434
EDG-MED-0da5ad92-18,x10494,x0434
EDG-MED-0da5ad92-21,x11025,x0434
BRU-LEF-c49414a7-1,x10756,"x0107,x0434"
EDJ-MED-49816e9b-1,x11011,"x0434,x0678"
EDJ-MED-49816e9b-2,x10334,"x0434,x0678"
RAL-MED-2de63afb-1,x10371,x1493
RAL-MED-2de63afb-2,x10322,x1493
RAL-MED-2de63afb-14,x10387,x1493
NAU-LAT-445f63e5-6,x10800,x0434
EDJ-MED-78f964c8-1,x3303,x0678
EDJ-MED-6af13d92-1,x11313,x0678
EDJ-MED-6af13d92-2,x11276,x0678
EDJ-MED-6af13d92-3,x11294,x0678
MIC-UNK-66895286-1,x11532,x0678
MIC-UNK-66895286-3,x11540,x0678
MIC-UNK-deda7a44-5,x11186,x0434
